,신장(5cm단위),결손치유무,총콜레스테롤,청력(우),결손치 유무,수축기혈압,혈청지피티(ALT),가입자 일련번호,신장(5Cm단위),청력(좌),LDL콜레스테롤,체중(5kg단위),혈청지오티(AST),흡연상태,기준년도,수축기 혈압,감마 지티피,데이터 공개일자,HDL콜레스테롤,Unnamed: 34,체중(5Kg 단위),구강검진 수검여부,HDL 콜레스테롤,체중(5Kg단위),연령대코드(5세단위),치석유무,(혈청지오티)ALT,제3대구치(사랑니)이상,시력(좌),감마지티피,성별코드,트리글리세라이드,가입자일련번호,성별,허리둘레,이완기혈압,치아마모증유무,구강검진수검여부,제3대구치(사랑니) 이상,데이터공개일자,(혈청지오티)AST,음주여부,연령대 코드(5세단위),데이터 기준일자,요단백,LDL 콜레스테롤,식전혈당(공복혈당),시력(우),Unnamed: 35,총 콜레스테롤,시도코드,치석,치아우식증유무,혈색소,이완기 혈압,혈청크레아티닌
2022,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True
2021,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True
2020,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True
2019,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True
2018,False,True,True,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True
2017,False,True,True,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True
2016,False,True,True,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True
2015,False,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False,True,True,False,True
2014,False,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False,True,True,False,True
2013,False,True,True,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,False,True
